run,average_dist,std_average_dist,Treefile,CS,FDR,MAD,Kuiper/KS,Qn/MAD,q-values,Within_cluster_limit,Solution_Index,Clean_up,Prior_taxa_clustered(%),#_of_clustered_sequences,Total_no_of_sequences,%_clustered,#_of_clusters,Mean_cluster_size,S.D.,Median_cluster_size,MAD.1,Min_cluster_size,Max_cluster_size,Grand_mean_of_mean_pwd,S.D..1,Grand_mean_of_median_pwd,S.D..2,Min_mean_pwd,Max_mean_pwd,Mean_of_inter-cluster_dist,S.D..3,Median_of_inter-cluster_dist,MAD.2,Min_inter-cluster_dist,Max_inter-cluster_dist,solver(version)
cs5_fdr0.1_gam3,24154.48821,139936.4977,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,5,0.1,3,kuiper,qn,post,0.016832323,0,post-clean,na,7658,7898,0.96961256,139,55.09352518,94.97557978,23,22.239,5,588,0.010323321,0.004217747,0.010181137,0.004652615,2.00E-06,0.025029651,0.077752889,0.038647738,0.075864636,0.042939921,0.000661654,0.19843141,"gurobi_(8, 0, 1)"
cs7_fdr0.05_gam3,26819.40295,153122.7278,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,7,0.05,3,kuiper,qn,post,0.016832323,0,post-clean,na,7656,7898,0.969359331,128,59.8125,100.8459299,25.5,20.0151,7,627,0.010380263,0.00398067,0.010263962,0.004382158,0.002475987,0.018051724,0.077884777,0.039582854,0.076011076,0.044518943,0.00066181,0.202795122,"gurobi_(8, 0, 1)"
cs8_fdr0.1_gam3,25748.90816,151807.2278,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,8,0.1,3,kuiper,qn,post,0.016832323,0,post-clean,na,7647,7898,0.968219802,135,56.64444444,88.22321306,25,19.2738,8,617,0.010080741,0.004020621,0.009657178,0.004346206,0.00141036,0.017499063,0.076203435,0.038154455,0.073508977,0.043177789,0.00066181,0.199426252,"gurobi_(8, 0, 1)"
cs8_fdr0.05_gam3,26902.32327,165450.0395,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,8,0.05,3,kuiper,qn,post,0.016832323,0,post-clean,na,7639,7898,0.967206888,133,57.43609023,98.62565846,26,19.2738,8,627,0.010368422,0.004078035,0.010138791,0.004457621,0.002475987,0.022946522,0.07728362,0.038800968,0.075710285,0.043625005,0.000634749,0.199426252,"gurobi_(8, 0, 1)"
cs7_fdr0.1_gam3,24259.80301,134411.6998,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,7,0.1,3,kuiper,qn,post,0.016832323,0,post-clean,na,7638,7898,0.967080273,137,55.75182482,89.51370097,26,20.7564,7,574,0.010505434,0.004059944,0.010341995,0.00451987,0.001499322,0.024410144,0.076673343,0.038910078,0.074248559,0.043786989,0.000125274,0.202400559,"gurobi_(8, 0, 1)"
cs4_fdr0.1_gam3,20668.31573,131936.7093,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,4,0.1,3,kuiper,qn,post,0.016832323,0,post-clean,na,7636,7898,0.966827045,154,49.58441558,88.41159695,23,19.2738,4,567,0.009759112,0.004054996,0.009642901,0.004541643,2.00E-06,0.019602092,0.077468898,0.038620249,0.075735409,0.042676468,0.000207054,0.202400559,"gurobi_(8, 0, 1)"
cs4_fdr0.05_gam3,26499.83532,143863.543,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,4,0.05,3,kuiper,qn,post,0.016832323,0,post-clean,na,7636,7898,0.966827045,139,54.9352518,88.62412148,24,20.7564,4,583,0.0100984,0.004530576,0.009998747,0.004890043,2.00E-06,0.022307594,0.08151499,0.03973326,0.080756857,0.044570883,0.00066181,0.204123292,"gurobi_(8, 0, 1)"
cs7_fdr0.15_gam3,28374.95408,155694.7259,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,7,0.15,3,kuiper,qn,post,0.016832323,0,post-clean,na,7633,7898,0.966447202,136,56.125,89.38202964,23.5,17.0499,7,544,0.010482043,0.004058024,0.010316134,0.004572239,0.001826284,0.021567761,0.077684467,0.039611885,0.075998992,0.045203728,0.000627458,0.202400559,"gurobi_(8, 0, 1)"
cs4_fdr0.15_gam3,22974.83981,134413.7691,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,4,0.15,3,kuiper,qn,post,0.016832323,0,post-clean,na,7632,7898,0.966320587,156,48.92307692,79.86428314,21,19.2738,4,588,0.009490827,0.004247447,0.009333727,0.004423899,2.00E-06,0.016909282,0.08361921,0.040400339,0.082809366,0.045089636,0.000659661,0.201138259,"gurobi_(8, 0, 1)"
cs5_fdr0.05_gam3,27463.81414,154271.102,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,5,0.05,3,kuiper,qn,post,0.016832323,0,post-clean,na,7631,7898,0.966193973,136,56.11029412,95.16377095,22.5,18.5325,5,619,0.010260608,0.004161491,0.010031485,0.004622221,0.000357972,0.019602092,0.080167364,0.0400518,0.079361528,0.045607149,0.00066181,0.202795122,"gurobi_(8, 0, 1)"
cs5_fdr0.15_gam3,26733.80226,145613.9451,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,5,0.15,3,kuiper,qn,post,0.016832323,0,post-clean,na,7628,7898,0.96581413,142,53.71830986,85.72985496,21,16.3086,5,588,0.0100816,0.004106368,0.00983611,0.004371381,2.00E-06,0.016582628,0.076093598,0.038963052,0.073682795,0.043650708,0.000645671,0.197801628,"gurobi_(8, 0, 1)"
cs10_fdr0.2_gam3,29086.73875,160772.5789,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,10,0.2,3,kuiper,qn,post,0.016832323,0,post-clean,na,7624,7898,0.965307673,130,58.64615385,92.05103586,28,22.239,10,596,0.010185599,0.003995637,0.009750528,0.004284278,0.00197212,0.020198257,0.077784138,0.039050979,0.076530769,0.044719477,0.000634749,0.198762956,"gurobi_(8, 0, 1)"
cs8_fdr0.2_gam3,27829.16236,158367.4275,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,8,0.2,3,kuiper,qn,post,0.016832323,0,post-clean,na,7620,7898,0.964801215,131,58.16793893,94.79087531,27,22.239,8,599,0.010638198,0.003922407,0.010458074,0.004352417,0.002475987,0.022315865,0.076683951,0.038398804,0.07516394,0.043018699,0.00066181,0.199031689,"gurobi_(8, 0, 1)"
cs2_fdr0.2_gam3,19671.71314,125444.6328,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,2,0.2,3,kuiper,qn,post,0.016832323,0,post-clean,na,7619,7898,0.964674601,162,47.0308642,78.24768945,24,21.4977,2,582,0.009805661,0.00452568,0.009568821,0.004821168,2.00E-06,0.02767293,0.083935462,0.041200848,0.083573622,0.046140743,0.00066181,0.215880476,"gurobi_(8, 0, 1)"
cs7_fdr0.2_gam3,24194.05751,136901.9719,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,7,0.2,3,kuiper,qn,post,0.016832323,0,post-clean,na,7618,7898,0.964547987,141,54.02836879,82.69228184,24,19.2738,7,557,0.010167846,0.003909335,0.009985109,0.004396191,0.001384577,0.018051724,0.078015382,0.039705578,0.075943224,0.044971348,0.00066181,0.199418052,"gurobi_(8, 0, 1)"
cs9_fdr0.2_gam3,28811.18185,150255.268,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,9,0.2,3,kuiper,qn,post,0.016832323,0,post-clean,na,7616,7898,0.964294758,129,59.03875969,91.37443597,26,20.7564,9,536,0.010284482,0.004024888,0.009967373,0.004240059,0.00254174,0.019970168,0.076654746,0.038467036,0.075296485,0.043533939,0.00066181,0.198762956,"gurobi_(8, 0, 1)"
cs10_fdr0.15_gam3,28896.85186,161140.1213,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,10,0.15,3,kuiper,qn,post,0.016832323,0,post-clean,na,7609,7898,0.963408458,127,59.91338583,92.25207217,28,23.7216,10,614,0.010318874,0.004055234,0.010013154,0.00430276,0.00197212,0.019970168,0.078888364,0.039175131,0.077966646,0.04448728,0.000627458,0.198762956,"gurobi_(8, 0, 1)"
cs2_fdr0.15_gam3,19117.8206,93997.94119,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,2,0.15,3,kuiper,qn,post,0.016832323,0,post-clean,na,7607,7898,0.963155229,164,46.38414634,70.60070034,22,18.5325,2,546,0.009637953,0.004395222,0.009518503,0.004825974,2.00E-06,0.021335507,0.084145994,0.041211972,0.08320094,0.045754488,0.00066181,0.222616083,"gurobi_(8, 0, 1)"
cs9_fdr0.1_gam3,26212.56649,148356.9103,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,9,0.1,3,kuiper,qn,post,0.016832323,0,post-clean,na,7606,7898,0.963028615,129,58.96124031,90.8932584,29,22.239,9,593,0.01024905,0.004110165,0.009930529,0.004246808,0.002142253,0.018051724,0.077104313,0.038906302,0.075156741,0.044011572,0.00066181,0.202780507,"gurobi_(8, 0, 1)"
cs9_fdr0.15_gam3,25349.64677,105443.4834,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,9,0.15,3,kuiper,qn,post,0.016832323,0,post-clean,na,7606,7898,0.963028615,132,57.62121212,85.35847448,27.5,21.4977,9,502,0.010294755,0.003937834,0.009944322,0.00419438,0.00141036,0.019970168,0.07641606,0.038826789,0.075026093,0.043937114,0.00066181,0.198762956,"gurobi_(8, 0, 1)"
cs8_fdr0.15_gam3,27713.20555,157615.566,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,8,0.15,3,kuiper,qn,post,0.016832323,0,post-clean,na,7601,7898,0.962395543,134,56.7238806,88.10019858,27,22.239,8,592,0.010341741,0.004010916,0.010053172,0.004423388,0.002127911,0.021567761,0.079593584,0.039248612,0.07888344,0.044838097,0.000634749,0.199031689,"gurobi_(8, 0, 1)"
cs10_fdr0.05_gam3,30517.099,171599.5441,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,10,0.05,3,kuiper,qn,post,0.016832323,0,post-clean,na,7591,7898,0.9611294,127,59.77165354,96.22305345,29,23.7216,10,612,0.010425849,0.00416377,0.010166439,0.004385089,0.00197212,0.021567761,0.076672784,0.038518344,0.075469093,0.043600021,0.000627458,0.198762956,"gurobi_(8, 0, 1)"
cs9_fdr0.05_gam3,27392.32148,154511.5998,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,9,0.05,3,kuiper,qn,post,0.016832323,0,post-clean,na,7590,7898,0.961002786,123,61.70731707,96.10050508,31,23.7216,9,606,0.010429828,0.003974475,0.010182176,0.004272618,0.00254174,0.018576007,0.077616104,0.038770886,0.076295497,0.044704172,0.00066181,0.198762956,"gurobi_(8, 0, 1)"
cs2_fdr0.05_gam3,20198.11369,95018.88127,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,2,0.05,3,kuiper,qn,post,0.016832323,0,post-clean,na,7560,7898,0.957204356,151,50.06622517,78.81494519,23,17.7912,2,558,0.009897123,0.004299825,0.009575168,0.00466058,2.00E-06,0.021567761,0.078816797,0.039310887,0.078401264,0.044850874,0.00066181,0.205484766,"gurobi_(8, 0, 1)"
cs2_fdr0.1_gam3,15690.32417,74429.58798,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,2,0.1,3,kuiper,qn,post,0.016832323,0,post-clean,na,7555,7898,0.956571284,175,43.17142857,62.01616665,23,17.7912,2,491,0.009082344,0.004376519,0.008860348,0.004746341,2.00E-06,0.025029651,0.084986872,0.041584875,0.085319204,0.046392035,0.00066181,0.222616083,"gurobi_(8, 0, 1)"
cs10_fdr0.1_gam3,23663.60571,137573.5866,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,10,0.1,3,kuiper,qn,post,0.016832323,0,post-clean,na,7555,7898,0.956571284,132,57.23484848,88.02748182,30,25.2042,10,612,0.010098176,0.004196447,0.009768867,0.004478824,0.00197212,0.021567761,0.07687888,0.038807105,0.07481782,0.04439693,0.00066181,0.199031689,"gurobi_(8, 0, 1)"
cs4_fdr0.15_gam2,12864.55175,60370.59043,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,4,0.15,2,kuiper,qn,post,0.012251756,0,post-clean,na,7458,7898,0.944289694,206,36.2038835,62.75657334,17,14.826,4,484,0.008003908,0.003347139,0.007874844,0.003794066,0.000357972,0.026252043,0.081665615,0.039702599,0.080895098,0.045448993,0.000125274,0.213779516,"gurobi_(8, 0, 1)"
cs3_fdr0.2_gam2,12635.923,59439.0507,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,3,0.2,2,kuiper,qn,post,0.012251756,0,post-clean,na,7439,7898,0.941884021,196,37.95408163,64.7448874,18,15.5673,3,509,0.007960206,0.003111485,0.007732008,0.003285531,2.00E-06,0.014975316,0.082626648,0.040703931,0.081857069,0.045986214,0.000661557,0.216046571,"gurobi_(8, 0, 1)"
cs5_fdr0.2_gam2,13527.45098,61288.0622,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,5,0.2,2,kuiper,qn,post,0.012251756,0,post-clean,na,7436,7898,0.941504178,189,39.34391534,66.57896629,17,13.3434,5,540,0.008237452,0.00331593,0.007919877,0.003562423,0.000357972,0.026734267,0.079631972,0.038987941,0.078886173,0.044420721,0.000661557,0.199701192,"gurobi_(8, 0, 1)"
cs4_fdr0.2_gam2,13677.40904,63231.49467,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,4,0.2,2,kuiper,qn,post,0.012251756,0,post-clean,na,7431,7898,0.940871107,196,37.91326531,66.38672734,17,13.3434,4,535,0.007852807,0.003305834,0.007612452,0.00345585,0.000357972,0.016480095,0.081609853,0.039669736,0.080157005,0.044744142,0.000662508,0.213779516,"gurobi_(8, 0, 1)"
cs3_fdr0.15_gam2,14465.79709,89182.56615,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,3,0.15,2,kuiper,qn,post,0.012251756,0,post-clean,na,7430,7898,0.940744492,192,38.69791667,71.42559117,17,13.3434,3,535,0.008190907,0.003577107,0.008143209,0.004105294,2.00E-06,0.026252043,0.080675805,0.039203775,0.079120319,0.043751559,0.000661654,0.216046571,"gurobi_(8, 0, 1)"
cs4_fdr0.1_gam2,15008.83358,71740.5625,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,4,0.1,2,kuiper,qn,post,0.012251756,0,post-clean,na,7421,7898,0.939604963,186,39.89784946,65.72288503,18.5,15.5673,4,502,0.008159774,0.003160609,0.007993695,0.003656962,0.000357972,0.022950025,0.080982166,0.039657293,0.079632644,0.04487332,0.000661557,0.213779516,"gurobi_(8, 0, 1)"
cs5_fdr0.15_gam2,15415.37842,77395.60798,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,5,0.15,2,kuiper,qn,post,0.012251756,0,post-clean,na,7416,7898,0.938971892,184,40.30434783,69.16737269,17,13.3434,5,538,0.00843669,0.003769484,0.008196352,0.00409556,0.000357972,0.026252043,0.079786782,0.038796104,0.079390665,0.044251026,0.000661557,0.199033564,"gurobi_(8, 0, 1)"
cs6_fdr0.15_gam2,14798.23445,63375.82996,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,6,0.15,2,kuiper,qn,post,0.012251756,0,post-clean,na,7415,7898,0.938845277,176,42.13068182,68.37769036,20,14.826,6,533,0.008182312,0.003286377,0.007926966,0.00359134,0.000357972,0.025632427,0.079310881,0.03906155,0.079073877,0.044911719,0.000661557,0.176849552,"gurobi_(8, 0, 1)"
cs7_fdr0.15_gam2,14818.24882,64047.20426,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,7,0.15,2,kuiper,qn,post,0.012251756,0,post-clean,na,7413,7898,0.938592049,177,41.88135593,69.26466486,19,13.3434,7,540,0.00822437,0.003061897,0.008045717,0.003377052,0.000811033,0.022173076,0.075778946,0.038120655,0.073894714,0.043082658,0.000661557,0.173762686,"gurobi_(8, 0, 1)"
cs7_fdr0.2_gam2,13844.35025,70220.31197,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,7,0.2,2,kuiper,qn,post,0.012251756,0,post-clean,na,7391,7898,0.935806533,179,41.29050279,71.02369022,19,13.3434,7,537,0.008141348,0.00273189,0.007877643,0.003015646,0.001075616,0.01369702,0.077811023,0.038443934,0.076603723,0.043933735,0.000662508,0.168014304,"gurobi_(8, 0, 1)"
cs4_fdr0.05_gam2,15498.29789,81753.77131,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,4,0.05,2,kuiper,qn,post,0.012251756,0,post-clean,na,7391,7898,0.935806533,174,42.47701149,76.32397513,19,16.3086,4,593,0.008271311,0.003614652,0.007993785,0.003881825,2.00E-06,0.026252043,0.080610846,0.039083921,0.079374542,0.044492956,0.00066181,0.203418165,"gurobi_(8, 0, 1)"
cs7_fdr0.1_gam2,15036.53531,79010.08857,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,7,0.1,2,kuiper,qn,post,0.012251756,0,post-clean,na,7390,7898,0.935679919,182,40.6043956,64.54179837,21,16.3086,7,521,0.00806456,0.003118528,0.007818199,0.003263479,0.000394924,0.02218679,0.079751272,0.039325126,0.0790957,0.045614405,0.000661557,0.17106023,"gurobi_(8, 0, 1)"
cs8_fdr0.2_gam2,13293.65177,68725.17735,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,8,0.2,2,kuiper,qn,post,0.012251756,0,post-clean,na,7387,7898,0.935300076,184,40.14673913,61.39876995,20,14.826,8,487,0.007977408,0.00297678,0.007745111,0.003255573,0.001075616,0.014791613,0.079174147,0.038922594,0.078011368,0.044986445,0.000661557,0.170064781,"gurobi_(8, 0, 1)"
cs2_fdr0.15_gam2,12047.77021,70119.65488,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,2,0.15,2,kuiper,qn,post,0.012251756,0,post-clean,na,7382,7898,0.934667004,193,38.24870466,70.41018445,19,17.7912,2,588,0.008022798,0.003252658,0.007860595,0.003550739,2.00E-06,0.01897258,0.08040384,0.039459856,0.079788472,0.04527819,0.000634749,0.203418165,"gurobi_(8, 0, 1)"
cs6_fdr0.05_gam2,14900.27746,76986.5975,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,6,0.05,2,kuiper,qn,post,0.012251756,0,post-clean,na,7378,7898,0.934160547,185,39.88108108,68.57594108,20,13.3434,6,553,0.007766486,0.003028641,0.007525678,0.003305396,0.000357972,0.014020579,0.07955493,0.039428301,0.077891037,0.045696548,0.000661557,0.1781857,"gurobi_(8, 0, 1)"
cs3_fdr0.1_gam2,13873.27334,76802.84295,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,3,0.1,2,kuiper,qn,post,0.012251756,0,post-clean,na,7375,7898,0.933780704,188,39.2287234,71.83385334,17,14.826,3,588,0.008065655,0.003406215,0.007901067,0.003693625,2.00E-06,0.024654847,0.081722747,0.039705621,0.08121022,0.044563239,0.000661557,0.222579545,"gurobi_(8, 0, 1)"
cs5_fdr0.05_gam2,13392.95779,75605.01502,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,5,0.05,2,kuiper,qn,post,0.012251756,0,post-clean,na,7374,7898,0.93365409,185,39.85945946,73.14601039,18,14.826,5,588,0.007863586,0.003547867,0.007572658,0.003752864,2.00E-06,0.026252043,0.07855666,0.038317686,0.077098876,0.043839733,0.00066181,0.184218535,"gurobi_(8, 0, 1)"
cs2_fdr0.2_gam2,13822.82447,69280.72204,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,2,0.2,2,kuiper,qn,post,0.012251756,0,post-clean,na,7361,7898,0.932008103,196,37.55612245,64.02332839,17,14.826,2,492,0.007967182,0.003458838,0.007847672,0.003788238,2.00E-06,0.024654847,0.081308205,0.039520515,0.080278048,0.044596151,0.000634749,0.215256976,"gurobi_(8, 0, 1)"
cs6_fdr0.1_gam2,16058.74444,80778.5342,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,6,0.1,2,kuiper,qn,post,0.012251756,0,post-clean,na,7357,7898,0.931501646,188,39.13297872,64.5532436,18,13.3434,6,507,0.007848396,0.003343207,0.007658916,0.003714278,2.00E-06,0.02218679,0.081209482,0.03951977,0.0805215,0.04559796,0.000661557,0.183590437,"gurobi_(8, 0, 1)"
cs3_fdr0.05_gam2,13920.4787,78579.97994,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,3,0.05,2,kuiper,qn,post,0.012251756,0,post-clean,na,7356,7898,0.931375032,187,39.3368984,71.11333433,19,16.3086,3,593,0.008108691,0.003327755,0.007877957,0.003545664,2.00E-06,0.024654847,0.081438532,0.039439527,0.081143943,0.044886833,0.000658169,0.203418165,"gurobi_(8, 0, 1)"
cs5_fdr0.1_gam2,12809.41054,60078.39382,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,5,0.1,2,kuiper,qn,post,0.012251756,0,post-clean,na,7355,7898,0.931248417,195,37.71794872,62.23664048,17,13.3434,5,461,0.008030364,0.003642171,0.007936908,0.004207759,2.00E-06,0.026252043,0.079596743,0.038843379,0.078500557,0.04382711,0.000661557,0.197388599,"gurobi_(8, 0, 1)"
cs8_fdr0.1_gam2,16071.99599,80596.32813,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,8,0.1,2,kuiper,qn,post,0.012251756,0,post-clean,na,7355,7898,0.931248417,169,43.52071006,72.81410518,21,14.826,8,553,0.008184919,0.002967608,0.007892879,0.003220799,0.001075616,0.014791613,0.078193123,0.039147629,0.076525481,0.045527166,0.000661557,0.170728077,"gurobi_(8, 0, 1)"
cs8_fdr0.15_gam2,17677.46864,83569.47874,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,8,0.15,2,kuiper,qn,post,0.012251756,0,post-clean,na,7355,7898,0.931248417,170,43.26470588,69.97907922,19.5,14.0847,8,507,0.008377128,0.003342144,0.008173128,0.003683259,0.001075616,0.02566419,0.078271188,0.038734412,0.07721045,0.044842989,0.000666446,0.170728077,"gurobi_(8, 0, 1)"
cs8_fdr0.05_gam2,14920.55962,71557.88248,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,8,0.05,2,kuiper,qn,post,0.012251756,0,post-clean,na,7348,7898,0.930362117,173,42.47398844,70.1340549,22,16.3086,8,539,0.008084296,0.002927178,0.007817477,0.003233955,0.001075616,0.014791613,0.078072429,0.039145677,0.076870234,0.045785234,0.000663188,0.17744486,"gurobi_(8, 0, 1)"
cs2_fdr0.1_gam2,14325.98442,74432.91695,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,2,0.1,2,kuiper,qn,post,0.012251756,0,post-clean,na,7338,7898,0.929095974,190,38.62105263,69.53704489,19,15.5673,2,546,0.008248602,0.003328202,0.008106237,0.003671656,0.000451045,0.02531701,0.082409628,0.039734276,0.082606882,0.045212876,0.000634749,0.196719096,"gurobi_(8, 0, 1)"
cs7_fdr0.05_gam2,15442.034,76386.92454,zero-branch-length-collapsed_H5Nx_new_zerocollapsed,7,0.05,2,kuiper,qn,post,0.012251756,0,post-clean,na,7333,7898,0.928462902,176,41.66477273,67.81433568,21,16.3086,7,542,0.007994899,0.003324713,0.007675169,0.003647352,2.00E-06,0.025632427,0.080108526,0.039788957,0.079132664,0.046636305,0.000663751,0.174756528,"gurobi_(8, 0, 1)"
