L'a/chicken/vietnam/ncvd-279/2009_CLADE2.3.4.3',N264,D0.005868
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/55/2007_CLADE2.3.4.3',D0.015346
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-98/2007_CLADE2.3.4.3',D0.016799
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-93/2007_CLADE2.3.4.3',D0.014619
I'a/guangxi/1/2005_CLADE2.3.4',J'a/muscovy_duck/vietnam/41/2007_CLADE2.3.4.3',D0.013893
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-100/2007_CLADE2.3.4.3',D0.014621
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-61/07_CLADE2.3.4.3',D0.015347
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-76/07_CLADE2.3.4.3',D0.015348
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-60/07_CLADE2.3.4.3',D0.015349
I'a/guangxi/1/2005_CLADE2.3.4',J'a/vietnam/ut31412ii/2008_CLADE2.3.4.3',D0.019016
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-022/2008_CLADE2.3.4.3',D0.016813
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-94/2007_CLADE2.3.4.3',D0.014624
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-020/2008_CLADE2.3.4.3',D0.016812
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-108/2007_CLADE2.3.4.3',D0.015351
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-021/2008_CLADE2.3.4.3',D0.015351
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-138/2008_CLADE2.3.4.3',D0.019753
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/thai_ninh/07-86/2007_CLADE2.3.4.3',D0.014623
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/nam_dinh/07-55/2007_CLADE2.3.4.3',D0.016809
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-019/2008_CLADE2.3.4.3',D0.014622
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/thai_binh/07-89/2007_CLADE2.3.4.3',D0.014623
I'a/guangxi/1/2005_CLADE2.3.4',J'a/muscovy_duck/thai_binh/07-90/2007_CLADE2.3.4.3',D0.015348
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-116/2007_CLADE2.3.4.3',D0.014622
I'a/guangxi/1/2005_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-119/2007_CLADE2.3.4.3',D0.015348
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-003/2008_CLADE2.3.4.3',D0.01827
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-105/2007_CLADE2.3.4.3',D0.01535
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-033/2008_CLADE2.3.4.3',D0.020447
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-118/2007_CLADE2.3.4.3',D0.019713
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-025/2008_CLADE2.3.4.3',D0.018257
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/g12/2008_CLADE2.3.4.3',D0.022656
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-039/2008_CLADE2.3.4.3',D0.02044
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-027/2008_CLADE2.3.4.3',D0.019716
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-279/2009_CLADE2.3.4.3',D0.025583
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/50/2007_CLADE2.3.4.3',D0.01535
I'a/guangxi/1/2005_CLADE2.3.4',J'a/vietnam/ut31244ii/2007_CLADE2.3.4.3',D0.015348
I'a/guangxi/1/2005_CLADE2.3.4',J'a/vietnam/ut31244iii/2007_CLADE2.3.4.3',D0.014624
I'a/guangxi/1/2005_CLADE2.3.4',J'a/vietnam/hn31244/2007_CLADE2.3.4.3',D0.015348
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/nam_dinh/07-91/2007_CLADE2.3.4.3',D0.014622
I'a/guangxi/1/2005_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-101/2007_CLADE2.3.4.3',D0.014623
I'a/guangxi/1/2005_CLADE2.3.4',J'a/civet/vietnam/ncvd-004/2008_CLADE2.3.4.3',D0.017533
I'a/guangxi/1/2005_CLADE2.3.4',J'a/vietnam/ut31413ii/2008_CLADE2.3.4.3',D0.016809
I'a/guangxi/1/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-002/2008_CLADE2.3.4.3',D0.018995
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-030/2008_CLADE2.3.4.3',D0.017537
I'a/guangxi/1/2005_CLADE2.3.4',J'a/muscovy_duck/viet_nam/tmu001/2008_CLADE2.3.4.3',D0.019723
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-140/2008_CLADE2.3.4.3',D0.017535
I'a/guangxi/1/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-146/2008_CLADE2.3.4.3',D0.018999
I'a/guangxi/1/2005_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-154/2008_CLADE2.3.4.3',D0.017537
I'a/guangxi/1/2005_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-156/2008_CLADE2.3.4.3',D0.018263
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/hunan/5128/2005_CLADE2.3.4',D0.001087
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/hunan/5191/2005_CLADE2.3.4',D4e-06
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/hunan/5146/2005_CLADE2.3.4',D0.00218
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/hunan/5170/2005_CLADE2.3.4',D0.002173
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/yunnan/2535/2006_CLADE2.3.4',D0.004746
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/goose/yunnan/2485/2006_CLADE2.3.4',D0.004746
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/goose/yunnan/4985/2006_CLADE2.3.4',D0.008031
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/yunnan/4873/2006_CLADE2.3.4',D0.007304
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/goose/yunnan/3340/2006_CLADE2.3.4',D0.008376
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/yunnan/3332/2006_CLADE2.3.4',D0.008376
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/goose/yunnan/1155/2006_CLADE2.3.4',D0.005453
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/guangxi/4446/2005_CLADE2.3.4',D0.002191
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/vietnam/ut30850/2005_CLADE2.3.4',D0.002915
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/yunnan/2273/2006_CLADE2.3.4',D0.00656
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/goose/guiyang/1461/2006_CLADE2.3.4',D0.004363
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/goose/guiyang/1147/2006_CLADE2.3.4',D0.003277
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-52/2007_CLADE2.3.4.3',D0.015467
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/phu_tho/07-48/2007_CLADE2.3.4.3',D0.013235
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/vietnam/52/2007_CLADE2.3.4.3',D0.013961
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/japanese_white-eye/hong_kong/737/2007_CLADE2.3.4.3',D0.009523
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/house_crow/hong_kong/1203/2007_CLADE2.3.4.3',D0.009524
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/scaly-breasted_munia/hong_kong/2572/2007_CLADE2.3.4.3',D0.010975
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/avian/hong_kong/2372/2007_CLADE2.3.4.3',D0.010249
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/chicken/viet_nam/tmu006/2008_CLADE2.3.4.3',D0.022827
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-026/2008_CLADE2.3.4.3',D0.021268
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/vietnam/ut31394ii/2008_CLADE2.3.4.3',D0.021272
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/quail/vietnam/ncvd-037/2008_CLADE2.3.4.3',D0.023456
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/guangxi/1/2008_CLADE2.3.4.3',D0.021992
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-20/2007_CLADE2.3.4.3',D0.013161
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/chicken/vietnam/18129/2009_CLADE2.3.4.3',D0.023501
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-57/07_CLADE2.3.4.3',D0.014614
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-56/07_CLADE2.3.4.3',D0.014614
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/muscovy_duck/vietnam/48/2007_CLADE2.3.4.3',D0.014614
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-62/07_CLADE2.3.4.3',D0.016797
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/vietnam/43/2007_CLADE2.3.4.3',D0.014616
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-63/07_CLADE2.3.4.3',D0.016085
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/nghe_an/07-49/2007_CLADE2.3.4.3',D0.016797
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-50/07_CLADE2.3.4.3',D0.016072
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/muscovy_duck/vietnam/57/2007_CLADE2.3.4.3',D0.013891
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/ha_tinh/07-53/2007_CLADE2.3.4.3',D0.014617
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-81/07_CLADE2.3.4.3',D0.014617
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-71/07_CLADE2.3.4.3',D0.014617
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/chicken/ha_nam/07-83/2007_CLADE2.3.4.3',D0.016795
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/muscovy_duck/ha_nam/07-84/2007_CLADE2.3.4.3',D0.015345
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-65/07_CLADE2.3.4.3',D0.01389
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/muscovy_duck/bac_gieng/07-66/2007_CLADE2.3.4.3',D0.015345
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/chicken/bac_giang/07-74/2007_CLADE2.3.4.3',D0.01607
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/avian/vietnam/ncvd-132/2008_CLADE2.3.4.3',D0.021189
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/avian/vietnam/ncvd-133/2008_CLADE2.3.4.3',D0.021915
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-014/2008_CLADE2.3.4.3',D0.019726
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-084/2008_CLADE2.3.4.3',D0.020461
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/chicken/viet_nam/tmu015/2008_CLADE2.3.4.3',D0.021186
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-005/2008_CLADE2.3.4.3',D0.018992
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/avian/vietnam/ncvd-124/2008_CLADE2.3.4.3',D0.020471
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-024/2008_CLADE2.3.4.3',D0.019718
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-041/2008_CLADE2.3.4.3',D0.018993
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/chicken/viet_nam/tmu004/2008_CLADE2.3.4.3',D0.021903
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/viet_nam/tmu005/2008_CLADE2.3.4.3',D0.019714
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-006/2008_CLADE2.3.4.3',D0.018988
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-028/2008_CLADE2.3.4.3',D0.017529
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-185/2008_CLADE2.3.4.3',D0.02191
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-186/2008_CLADE2.3.4.3',D0.021186
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-188/2008_CLADE2.3.4.3',D0.023366
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-187/2008_CLADE2.3.4.3',D0.021913
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/ninh_binh/07-68/2007_CLADE2.3.4.3',D0.013164
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/vietnam/ut31239/2007_CLADE2.3.4.3',D0.013892
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-120/2007_CLADE2.3.4.3',D0.014621
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-47/2007_CLADE2.3.4.3',D0.013893
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/muscovy_duck/ha_nam/07-47/2007_CLADE2.3.4.3',D0.013893
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-111/2007_CLADE2.3.4.3',D0.015349
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-112/2007_CLADE2.3.4.3',D0.016074
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/muscovy_duck/nam_dinh/07-87/2007_CLADE2.3.4.3',D0.013892
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-51/2007_CLADE2.3.4.3',D0.013894
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/vietnam/ut31203a/2007_CLADE2.3.4.3',D0.016823
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-110/2007_CLADE2.3.4.3',D0.015347
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/vietnam/hn31388m1/2007_CLADE2.3.4.3',D0.019729
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/vietnam/ncvd-113/2007_CLADE2.3.4.3',D0.01462
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-086/2008_CLADE2.3.4.3',D0.0227
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-114/2007_CLADE2.3.4.3',D0.015346
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/muscovy_duck/son_la/07-85/2007_CLADE2.3.4.3',D0.015348
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/vietnam/na72/2007_CLADE2.3.4.3',D0.024185
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/duck/vietnam/na114/2007_CLADE2.3.4.3',D0.020476
I'a/duck/hunan/5106/2005_CLADE2.3.4',J'a/chicken/vietnam/ncvd-029/2008_CLADE2.3.4.3',D0.01754
